id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
53509809,Cozy Apartment in Schwabing - Olympiapark,28573749,Isabel,,Schwabing-West,48.17165,11.56584,Entire home/apt,95,2,3,2022-04-13,0.47,1,17,3,
53528185,Flat just for a whole month!April/Mai 2022,191183103,Hilke,,Aubing-Lochhausen-Langwied,48.15631,11.41014,Entire home/apt,65,28,1,2022-06-01,1,2,41,1,
53538020,1 room apartment / City center,43214259,Favio,,Maxvorstadt,48.14674,11.56928,Entire home/apt,90,3,5,2022-05-31,1.55,1,226,5,
53538228,Sonniges Zimmer mit Balkon in Münchner Zentrum,386852159,Marcel,,Neuhausen-Nymphenburg,48.15807,11.5479,Private room,51,1,30,2022-06-07,5.36,1,31,30,
53540691,1 bedroom in a 2-bedroom shared apartment,421848905,Emina,,Au-Haidhausen,48.12952,11.60552,Private room,41,5,11,2022-05-31,1.81,1,14,11,
53550953,"Close to Oktoberfest, 1room flat with Balcony",226713528,Teresa,,Laim,48.13115,11.51796,Entire home/apt,300,7,0,,,1,363,0,
53564663,Helle 2-Zimmerwohnung nahe Schlosspark Nymphenburg,22076783,Hannes,,Neuhausen-Nymphenburg,48.14837,11.5006,Entire home/apt,88,8,0,,,1,265,0,
53565992,Stilvolle 2-Zimmerwohnung im besten Neuhausen,221821990,Helmut,,Neuhausen-Nymphenburg,48.1544,11.53628,Entire home/apt,100,180,0,,,1,296,0,
53570498,Lehel: Moderne Luxus-Wohnung in bester Lage,246326725,Philipp Emanuel,,Altstadt-Lehel,48.14055,11.59101,Entire home/apt,75,14,0,,,2,0,0,
53602537,myMINGA Standard Double Room | 1 night,434055750,MyMINGA,,Ludwigsvorstadt-Isarvorstadt,48.132286,11.56528,Private room,120,1,6,2022-06-19,2.43,14,220,6,
53603498,myMINGA  apartment smart -single-  | > 28 nights,434055750,MyMINGA,,Ludwigsvorstadt-Isarvorstadt,48.132286,11.56528,Private room,45,28,7,2022-06-06,1.74,14,176,7,
53604649,myMINGA Comfort Double Room | 3-6 nights,434055750,MyMINGA,,Ludwigsvorstadt-Isarvorstadt,48.132286,11.56528,Private room,166,3,1,2022-06-12,1,14,147,1,
53604719,myMINGA junior-apartment starting from 28nights,434055750,MyMINGA,,Ludwigsvorstadt-Isarvorstadt,48.132286,11.56528,Private room,30,28,3,2022-04-30,0.79,14,133,3,
53604770,myMINGA Superior Double Room | 1 night,434055750,MyMINGA,,Ludwigsvorstadt-Isarvorstadt,48.132286,11.56528,Private room,146,1,0,,,14,295,0,
53604940,myMINGA Superior Double Room | 3-6 Nächte,434055750,MyMINGA,,Ludwigsvorstadt-Isarvorstadt,48.132286,11.56528,Private room,180,3,0,,,14,243,0,
53606463,Nice apartment with free parking,303657428,Andreia,,Neuhausen-Nymphenburg,48.16459,11.54487,Entire home/apt,24,10,0,,,3,42,0,
53607649,Goldener Altbau 106qm zentral in München,274282629,Gloria,,Bogenhausen,48.14444,11.60268,Entire home/apt,216,1,11,2022-06-06,1.90,2,174,11,
53618470,Sonnige Wohnung über den Dächern von München,9865054,Olga,,Obergiesing,48.1098,11.58516,Entire home/apt,59,4,1,2022-06-04,1,1,129,1,
53618883,Billiger Zimmer/Bedroom Harthof München,8579369,Kelen,,Milbertshofen-Am Hart,48.20863,11.5683,Private room,60,3,0,,,4,326,0,
53641383,Beautiful home for family,72425620,Nadja,,Neuhausen-Nymphenburg,48.14939,11.50529,Entire home/apt,99,20,0,,,2,18,0,
53643793,Special attic in the middle of Munich’s hip,434406693,Blanca,,Untergiesing-Harlaching,48.11907,11.57446,Entire home/apt,94,1,0,,,1,24,0,
53670432,Lovely private garden flat,34282544,Katrin,,Sendling,48.114658,11.547641,Entire home/apt,130,2,0,,,2,66,0,
53674131,Cozy apartment in great location,315064223,Ilia,,Obergiesing,48.11816,11.58265,Entire home/apt,68,6,2,2022-05-13,0.35,1,202,2,
53680711,Lovely 1-bedroom rental unit in the city center,89123025,Bianca,,Ludwigsvorstadt-Isarvorstadt,48.12703,11.55826,Private room,40,1,1,2021-12-10,0.15,1,0,1,
53698985,Stylish 1-bedroom serviced Apartment in Munich,91655379,Jürgen,,Maxvorstadt,48.14487,11.54132,Entire home/apt,349,2,0,,,1,365,0,
53703805,Schöne Wohnung mit Balkon in bester Lage,176943531,Carla,,Maxvorstadt,48.15002,11.57217,Entire home/apt,95,4,1,2022-01-03,0.18,1,234,1,
53703888,Full Flat 80m2 Office at Münchner Freiheit Subway,434950585,Maria,,Schwabing-Freimann,48.16266,11.58722,Entire home/apt,120,2,9,2022-06-19,1.39,1,47,9,
53722361,"Comfortable Room with Cooking, Heater, Wifi, Bath",420055202,Thomas,,Sendling-Westpark,48.11063,11.52135,Private room,40,1,1,2021-12-24,0.17,1,294,1,
53730282,myMINGA Apartment with Kitchenette | 28+ nights,434055750,MyMINGA,,Ludwigsvorstadt-Isarvorstadt,48.13184,11.564453,Private room,38,28,1,2022-06-01,1,14,218,1,
53730505,BDSM Romantic & Wellness Penthouse- Whirpool Sauna,435172053,Dorota,,Schwabing-Freimann,48.18722,11.5905,Entire home/apt,650,1,1,2022-02-28,0.26,1,360,1,
53730521,myMINGA BUSINESS Apartment with kitchenette 28N,434055750,MyMINGA,,Ludwigsvorstadt-Isarvorstadt,48.13184,11.564453,Private room,55,28,0,,,14,213,0,
53730546,Zimmer 7 zu vermieten,373727596,Balwinder,,Aubing-Lochhausen-Langwied,48.14377,11.42276,Private room,27,1,6,2022-06-19,0.99,6,233,6,
53732874,Micro Studio at WunderLocke,388152458,Wunder,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.0931,11.52785,Entire home/apt,255,1,11,2022-05-27,5.00,10,262,11,
53732989,Mezzanine Studio- Sofa Bed at WunderLocke,388152458,Wunder,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.0932,11.52754,Entire home/apt,385,1,3,2022-05-01,1.50,10,262,3,
53747279,"2 room Studio, newly renovated, Altperlach",435309467,Lisa,,Ramersdorf-Perlach,48.10068,11.63089,Entire home/apt,50,30,2,2022-02-26,0.36,2,238,2,
53748144,Zimmer zu vermieten 6,373727596,Balwinder,,Aubing-Lochhausen-Langwied,48.14474,11.42428,Private room,27,1,13,2022-06-18,2.15,6,285,13,
53766692,Watch the snow from the window of your new home!,434553707,Milos,,Aubing-Lochhausen-Langwied,48.17021,11.41126,Entire home/apt,31,25,0,,,1,0,0,
53770681,Standard Doppelzimmer,395880389,Boutique Hotel Germania,,Ludwigsvorstadt-Isarvorstadt,48.137646,11.560234,Private room,250,1,1,2022-05-16,0.81,26,256,1,
53772811,The perfect house for you to move in this season!,435512418,Md Shahel,,Schwabing-West,48.15976,11.56624,Entire home/apt,59,25,0,,,1,0,0,
53777502,Moderne 3 Zimmer Wohnung mit Dachgarten,6052241,Julia,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09495,11.50724,Entire home/apt,77,4,1,2022-05-09,0.68,1,142,1,
53778331,Cool Queer Studio Munich,300805526,Masha,,Maxvorstadt,48.1471,11.56761,Entire home/apt,84,3,7,2022-03-04,1.21,5,92,7,
53791521,Cosy quiet but central loft apartment with a view,73708880,Dmitri,,Untergiesing-Harlaching,48.11247,11.56982,Entire home/apt,35,29,0,,,1,86,0,
53793711,Cozy 3-room-apartment in Munich‘s French District,11089208,Anna Katharina,,Au-Haidhausen,48.1277,11.59986,Entire home/apt,120,3,4,2022-06-09,0.67,1,208,4,
53795529,Helle Designerwohnung in schöner & zentraler Lage,24070116,Andrea,,Schwabing-Freimann,48.16654,11.59117,Entire home/apt,120,5,2,2022-06-04,2,2,148,2,
53795765,Schöne Wohnung nahe Stadtzentrum,242317550,Helga,,Sendling,48.11933,11.54276,Entire home/apt,90,4,2,2022-04-19,0.41,1,1,2,
53799183,Schöne Wohnung in zentraler Lage mit Balkon,4161403,Urs,,Neuhausen-Nymphenburg,48.15263,11.54134,Entire home/apt,60,30,0,,,1,267,0,
53802756,Top Lage - kleine und gemütliche Ferienwohnung,20550475,Diana,,Aubing-Lochhausen-Langwied,48.13305,11.38866,Private room,55,1,3,2022-06-05,0.97,1,362,3,
53821622,COZY FAMILY APARTMENT NEAR OLYMPIAPARK,6703428,Gerrit,,Neuhausen-Nymphenburg,48.16113,11.54066,Entire home/apt,110,2,4,2022-02-28,0.71,1,0,4,
53822163,"Schöne 3 Gartenwohnung mit 2 Bädern,TG Stellplatz",435975495,Julia,,Aubing-Lochhausen-Langwied,48.13922,11.42139,Entire home/apt,111,3,0,,,1,182,0,
53828447,Cosy private room in a shared apartment,177559259,Konrad,,Sendling-Westpark,48.10637,11.51016,Private room,59,2,6,2022-06-05,1.26,1,23,6,
53845332,Ultra Central 34sqm Rooftop Apartment,79206983,Niels,,Altstadt-Lehel,48.13606,11.5806,Entire home/apt,95,4,0,,,1,0,0,
53852544,Room in Design Gallery-Apartment in Munich,61744536,Safrina,,Milbertshofen-Am Hart,48.18734,11.5743,Private room,55,1,3,2022-03-26,0.82,1,0,3,
53853951,Günstige Wohnung im Sous-Terrain,249602552,Boardinghouse  Amalienburg,,Pasing-Obermenzing,48.16532,11.48842,Private room,50,6,1,2022-04-04,0.38,9,288,1,
53857722,Cosy City Apartment Beside Oktoberfest,58224389,Ivana,,Ludwigsvorstadt-Isarvorstadt,48.13742,11.552,Entire home/apt,94,4,2,2022-05-22,1.54,1,11,2,
53869412,"Wohnung mit Balkon, WLAN, TV;",436352766,Haxhi,,Aubing-Lochhausen-Langwied,48.14608,11.4395,Entire home/apt,89,1,8,2022-03-10,1.45,1,282,8,
53887682,Zimmer in moderner Wohnung mit Dachterasse,57728142,Schirin,,Berg am Laim,48.13238,11.631,Private room,50,1,0,,,1,62,0,
53889351,Luxury Flat in Haidhausen,8953171,Nora Lynn,,Au-Haidhausen,48.12783,11.60308,Entire home/apt,160,2,9,2022-06-06,2.14,1,0,9,
53889387,Schönes Apartment in zentraler Lage,98958979,Johanna,,Untergiesing-Harlaching,48.11811,11.57379,Entire home/apt,115,5,0,,,1,105,0,
53906378,"Rarität in München Altstadt, Englischer Garten",318520,Alevtina,,Altstadt-Lehel,48.147077691007006,11.593619263120715,Entire home/apt,185,2,4,2022-05-22,1.82,1,132,4,
53913845,Central apartment ~ near E Garden and LMU,205727861,Claudia,,Maxvorstadt,48.15649,11.56368,Entire home/apt,160,1,25,2022-06-18,4.19,1,33,25,
53922680,Schöne 2 Zimmer Wohnung im Herzen Münchens,45059567,Philippe,,Altstadt-Lehel,48.13772,11.57845,Entire home/apt,83,1,3,2022-04-24,0.52,1,0,3,
53929784,Cozy 2-Bedroom-Apartment in central location!,96394089,Cemil,,Schwabing-Freimann,48.16149,11.58658,Entire home/apt,250,3,1,2022-01-02,0.18,1,0,1,
53932094,"Apartment ""Hanni"" designed by Matteo Thun",51557252,One,,Ludwigsvorstadt-Isarvorstadt,48.12754,11.55368,Entire home/apt,123,1,4,2022-06-11,0.69,22,22,4,
53933241,myMINGA Apartm. f. 2 with Kitchenette | 28+ nights,434055750,MyMINGA,,Ludwigsvorstadt-Isarvorstadt,48.13184,11.564453,Private room,40,28,1,2022-04-02,0.37,14,182,1,
53944836,"Moderne, cosy flat in the heart of  Nymphenburgs",36683928,Sarah,,Neuhausen-Nymphenburg,48.15488,11.508,Entire home/apt,111,5,5,2022-06-12,1.63,1,277,5,
53977760,Altbau Wohnung in München Sendling Feld,25903208,Anna,,Sendling,48.12066,11.54802,Entire home/apt,55,7,1,2022-06-05,1,1,14,1,
53995761,Ruhige Wohnung an der Isar | Cozy Apartment Munich,252704910,Michaela,,Untergiesing-Harlaching,48.10493,11.56314,Entire home/apt,60,5,0,,,1,191,0,
54007686,Stilvolle 83qm Wohnung mit Balkon am Friedensengel,10207320,Olivia,,Bogenhausen,48.14085,11.60473,Entire home/apt,110,3,0,,,1,207,0,
54013065,Beautiful and good located apartment in Munich,156942415,Stefan & Jackeline,,Sendling-Westpark,48.11192,11.50449,Entire home/apt,66,4,15,2022-06-11,3.17,1,216,15,
54015926,Standard Einzelzimmer,395880389,Boutique Hotel Germania,,Ludwigsvorstadt-Isarvorstadt,48.137646,11.560234,Private room,250,1,4,2022-06-06,2.67,26,340,4,
54016636,Standard Zweibettzimmer,395880389,Boutique Hotel Germania,,Ludwigsvorstadt-Isarvorstadt,48.137646,11.560234,Private room,250,1,3,2022-05-26,0.82,26,299,3,
54018364,Standard Dreibettzimmer,395880389,Boutique Hotel Germania,,Ludwigsvorstadt-Isarvorstadt,48.137646,11.560234,Private room,273,1,2,2022-05-24,1.05,26,214,2,
54029172,One room apartment near the center of Munich,82118778,Hussein,,Milbertshofen-Am Hart,48.17784,11.5691,Shared room,30,12,20,2022-06-12,3.47,1,66,20,
54030960,Superb vintage apart. for long-term rental (1-6m),4289796,Na,,Sendling,48.11526,11.53994,Entire home/apt,85,20,2,2022-06-05,0.53,2,270,2,
54033129,"Charmantes, modernes Apartement in Schwabing",30545875,Lisa,,Schwabing-West,48.16164,11.5687,Entire home/apt,45,2,8,2022-06-12,1.45,1,0,8,
